emoji,meaning
😂,laughing uncontrollably
😍,feeling love and admiration
😢,deep sadness
😡,extremely angry
🔥,something awesome or exciting
💀,laughing so hard it hurts
👍,"thumbs up, approval"
🍔,delicious food
🙏,hoping for good outcome
👑,feeling like royalty
💩,this is bad or awful
😎,feeling cool and confident
😭,crying hard
🤔,deep thinking
😱,shocked and surprised
🥳,celebration time!
🤯,mind completely blown
🤡,feeling silly or foolish
🤬,very angry
🥺,pleading or begging
👀,watching closely
🤗,sending a hug
😇,feeling blessed
🤤,craving this
😴,very tired or sleepy
😈,feeling mischievous
🤮,disgusted
😵,feeling dizzy or overwhelmed
🙌,celebration success
👏,applause for good work
🤝,making an agreement
💪,feeling strong
🤑,thinking about money
